nNoBorne,sTerrain,sNomRuePrincipale,sStatut,nLongitude,nLatitude,Lun,Mar,Mer,Jeu,Ven,Sam,Dim,dtHeureDebutAP,dtHeureFinAP,nTarifHoraire,nMax
10058,24,Terrain 024 - St-André,A,-73.605343140423315000,45.538080766292637000,True,True,True,True,True,True,True,00:00:00,23:59:59,275,1200
10059,24,Terrain 024 - St-André,A,-73.604802007321751000,45.537767536263353000,True,True,True,True,True,True,True,00:00:00,23:59:59,275,1200
10071,115,Terrain 115 - Remembrance,A,-73.600088011089000000,45.499189545429729000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10072,115,Terrain 115 - Remembrance,A,-73.599697927130478000,45.499804314856441000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10073,116,Terrain 116 - Remembrance,A,-73.601207764828956000,45.498399058007820000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10074,116,Terrain 116 - Remembrance,A,-73.600755065576891000,45.498925947774410000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10075,117,Terrain 117 - Remembrance,A,0.000000000000000000,0.000000000000000000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10076,117,Terrain 117 - Remembrance,A,0.000000000000000000,0.000000000000000000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10077,117,Terrain 117 - Remembrance,A,-73.593724721715390000,45.501767591153836000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10078,117,Terrain 117 - Remembrance,A,-73.593938542722157000,45.501433960595143000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10079,117,Terrain 117 - Remembrance,A,-73.594823944784395000,45.501362555353765000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10080,118,Terrain 118 - Remembrance,A,-73.594274524790066000,45.502671562102293000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10081,118,Terrain 118 - Remembrance,A,-73.593677452527487000,45.502631920301731000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10083,139,Terrain 139 - Calixa-Lavallée,A,-73.565329468872207000,45.524192468593917000,True,True,True,True,True,True,True,00:00:00,23:59:59,400,1700
10084,139,Terrain 139 - Calixa-Lavallée,A,-73.565501722782557000,45.523618108182696000,True,True,True,True,True,True,True,00:00:00,23:59:59,400,1700
10092,207,Terrain 207 - Notre-Dame,A,-73.562508996298504000,45.496613118212920000,True,True,True,True,True,True,True,00:00:00,23:59:59,550,1700
10095,227,Terrain 227 - de la Montagne,A,-73.569259657973234000,45.494169954061427000,False,False,False,False,False,True,True,00:00:00,23:59:59,550,2000
10095,227,Terrain 227 - de la Montagne,A,-73.569259657973234000,45.494169954061427000,True,True,True,True,True,False,False,17:00:00,23:59:59,550,2000
10096,243,Terrain 243 - des Trinitaires,A,-73.602437534980893000,45.445157033514484000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1400
10097,243,Terrain 243 - des Trinitaires,A,-73.602721784002881000,45.445478835342740000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1400
10100,275,Terrain 275 - Camilien-Houde,A,-73.592703755428587000,45.510388502114829000,True,True,True,True,True,True,True,00:00:00,23:59:59,350,1200
10105,400,Terrain 400 - Mansfield,A,-73.564652346726419000,45.497673399359243000,True,True,True,True,True,True,True,00:00:00,23:59:59,550,1700
10900,408,Terrain 408 - ST-L - rue Ouimet,A,-73.678775363394053000,45.512715331659479000,True,True,True,True,True,True,True,00:00:00,22:00:00,100,1500
10901,408,Terrain 408 - ST-L - rue Ouimet,A,-73.678523356591484000,45.512551645283779000,True,True,True,True,True,True,True,00:00:00,22:00:00,100,1500
10902,LA-5,Terrain LAC 5 - boul. St-Joseph,A,-73.693394906584373000,45.432920097698258000,True,True,True,True,True,True,True,00:00:00,21:00:00,150,900
10906,LA-4,Terrain LAC 4 - boul. St-Joseph,A,-73.686089254141720000,45.434051480812030000,True,True,True,True,True,True,True,00:00:00,21:00:00,150,1800
10907,LA-6,Terrain LAC 6 - boul. St-Joseph,A,-73.684033236403337000,45.433033963390763000,True,True,True,True,True,False,False,06:00:00,17:00:00,150,1200
10908,LA-8,Terrain LAC 8 - boul. St-Joseph,A,-73.674477564866407000,45.431703389182204000,True,True,True,True,True,True,True,00:00:00,21:00:00,150,1800
10909,LA-26,Terrain LAC 26 - ch du Musée,A,-73.666322761660666000,45.429593517503143000,True,True,True,True,True,True,True,00:00:00,21:00:00,150,900
10910,LA-24,Terrain LAC 24 - ch du Canal,A,-73.671194470000174000,45.428978045113460000,True,True,True,True,True,True,True,00:00:00,21:00:00,150,900
10911,LA-24,Terrain LAC 24 - ch du Canal,A,-73.671271629586812000,45.428955298096341000,True,True,True,True,True,True,True,00:00:00,21:00:00,150,900
10912,409,Terrain 409 (OUT CCI) - boul. Dollard,A,-73.618815475683206000,45.519797991646300000,True,True,True,True,True,True,True,00:00:00,20:00:00,50,600
10913,409,Terrain 409 (OUT CCI) - boul. Dollard,A,-73.618817317306423000,45.520575658752065000,True,True,True,True,True,True,True,00:00:00,20:00:00,50,600
10915,411,Terrain 411 - Hab. J.-M. - rue Ontario,A,-73.565681153322515000,45.513352435538849000,True,True,True,True,True,True,True,00:00:00,23:59:59,200,1500
10916,410,Terrain 410 - av Rockland,A,-73.622130768243295000,45.519242470108061000,False,False,False,False,False,True,False,00:00:00,21:00:00,100,700
10916,410,Terrain 410 - av Rockland,A,-73.622130768243295000,45.519242470108061000,True,True,True,True,True,False,False,00:00:00,21:00:00,100,700
10917,412,Terrain 412 - Parc Summerlea,A,-73.715942510014287000,45.438265676953044000,True,True,True,True,True,True,True,00:00:00,21:00:00,150,1800
10918,413,Terrain 413 - St-L - rue St-Germain,A,-73.676575482693508000,45.512383784954856000,True,True,True,True,True,False,False,00:00:00,17:00:00,100,900
10919,414,Terrain 414 - St-L - rue Ouimet sud,A,-73.676910723954052000,45.511533215426347000,True,True,True,True,True,True,True,00:00:00,22:00:00,100,1500
10923,434,Terrain 434 - Verdun 34 - boul. Gaétan Laberge,A,-73.561697755502777000,45.463113305846512000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1500
10926,514,Terrain 514 - Verdun 14 - Willibrord,A,-73.574109817255731000,45.459193796034832000,True,True,True,True,True,False,False,00:00:00,23:59:59,150,1000
10927,519,Terrain 519 - Verdun 19 - 4e Avenue,A,-73.568163328541658000,45.456985496286400000,False,False,False,False,False,True,True,00:00:00,23:59:59,150,1000
10927,519,Terrain 519 - Verdun 19 - 4e Avenue,A,-73.568163328541658000,45.456985496286400000,True,True,True,True,True,False,False,00:00:00,23:59:59,150,1000
10928,520,Terrain 520 - Verdun 20 - Gordon,A,-73.568158262334535000,45.460985067821824000,False,False,False,True,True,False,False,00:00:00,23:59:59,150,1000
10928,520,Terrain 520 - Verdun 20 - Gordon,A,-73.568158262334535000,45.460985067821824000,True,True,True,False,False,True,False,00:00:00,23:59:59,150,1000
